Customer ID,Total_Orders,Returned_Orders,Return_Rate
CUST-2595,10,6,0.6
CUST-2606,6,5,0.8333333333333334
CUST-2625,11,8,0.7272727272727273
CUST-2635,9,5,0.5555555555555556
CUST-2637,5,3,0.6
CUST-2642,7,5,0.7142857142857143
CUST-2650,7,4,0.5714285714285714
CUST-2659,15,9,0.6
CUST-2697,20,11,0.55
CUST-2710,5,3,0.6
CUST-2712,4,3,0.75
CUST-2730,6,4,0.6666666666666666
CUST-2743,7,4,0.5714285714285714
CUST-2765,4,3,0.75
CUST-2792,5,3,0.6
CUST-2796,5,4,0.8
CUST-2797,3,2,0.6666666666666666
CUST-2890,8,6,0.75
CUST-2898,5,4,0.8
CUST-2923,12,7,0.5833333333333334
CUST-2983,7,4,0.5714285714285714
CUST-2995,9,5,0.5555555555555556
CUST-3001,22,13,0.5909090909090909
CUST-3037,7,5,0.7142857142857143
CUST-3041,5,3,0.6
CUST-3057,5,3,0.6
CUST-3064,6,4,0.6666666666666666
CUST-3073,5,3,0.6
CUST-3082,5,4,0.8
CUST-3085,9,6,0.6666666666666666
CUST-3137,5,3,0.6
CUST-3153,7,4,0.5714285714285714
CUST-3167,11,6,0.5454545454545454
CUST-3184,5,4,0.8
CUST-3247,5,4,0.8
CUST-3323,9,5,0.5555555555555556
CUST-3362,5,4,0.8
CUST-3384,10,6,0.6
CUST-3438,5,3,0.6
CUST-3455,9,6,0.6666666666666666
CUST-3480,9,5,0.5555555555555556
CUST-3501,5,3,0.6
CUST-3506,10,6,0.6
CUST-3534,4,3,0.75
CUST-3557,7,4,0.5714285714285714
CUST-3564,11,7,0.6363636363636364
CUST-3585,7,6,0.8571428571428571
CUST-3631,5,3,0.6
CUST-3636,18,10,0.5555555555555556
CUST-3641,10,6,0.6
CUST-3669,11,6,0.5454545454545454
CUST-3671,5,3,0.6
CUST-3703,16,9,0.5625
CUST-3717,3,2,0.6666666666666666
CUST-3719,13,8,0.6153846153846154
CUST-3727,7,4,0.5714285714285714
CUST-3733,14,9,0.6428571428571429
CUST-3747,7,4,0.5714285714285714
CUST-3749,3,2,0.6666666666666666
CUST-3757,3,2,0.6666666666666666
CUST-3770,9,6,0.6666666666666666
CUST-3773,9,5,0.5555555555555556
CUST-3805,10,6,0.6
CUST-3806,5,3,0.6
CUST-3828,4,3,0.75
CUST-3848,13,7,0.5384615384615384
CUST-3907,5,4,0.8
CUST-3910,10,7,0.7
CUST-3925,9,5,0.5555555555555556
CUST-3928,9,6,0.6666666666666666
CUST-3935,3,2,0.6666666666666666
CUST-3972,6,4,0.6666666666666666
CUST-3977,7,4,0.5714285714285714
CUST-3988,5,3,0.6
CUST-3992,7,6,0.8571428571428571
CUST-4004,9,6,0.6666666666666666
CUST-4014,17,9,0.5294117647058824
CUST-4029,5,3,0.6
CUST-4030,6,4,0.6666666666666666
CUST-4032,6,4,0.6666666666666666
CUST-4060,5,3,0.6
CUST-4066,13,7,0.5384615384615384
CUST-4084,10,6,0.6
CUST-4085,6,4,0.6666666666666666
CUST-4087,12,7,0.5833333333333334
CUST-4088,4,3,0.75
CUST-4095,7,4,0.5714285714285714
CUST-4097,5,4,0.8
CUST-4112,5,4,0.8
CUST-4120,16,9,0.5625
CUST-4129,5,3,0.6
CUST-4138,19,10,0.5263157894736842
CUST-4166,8,6,0.75
CUST-4258,11,6,0.5454545454545454
CUST-4304,14,8,0.5714285714285714
CUST-4320,6,4,0.6666666666666666
CUST-4328,12,7,0.5833333333333334
CUST-4342,13,8,0.6153846153846154
CUST-4351,5,4,0.8
CUST-4422,5,3,0.6
CUST-4432,9,5,0.5555555555555556
CUST-4434,7,4,0.5714285714285714
CUST-4467,9,6,0.6666666666666666
CUST-4470,16,9,0.5625
CUST-4527,5,3,0.6
CUST-4548,8,5,0.625
CUST-4588,19,11,0.5789473684210527
CUST-4615,3,2,0.6666666666666666
CUST-4618,5,3,0.6
CUST-4694,6,4,0.6666666666666666
CUST-4729,8,6,0.75
CUST-4743,6,4,0.6666666666666666
CUST-4747,5,3,0.6
CUST-4787,15,8,0.5333333333333333
CUST-4845,5,4,0.8
CUST-4878,29,16,0.5517241379310345
CUST-4884,10,6,0.6
CUST-4907,21,13,0.6190476190476191
CUST-4944,6,4,0.6666666666666666
CUST-4976,3,2,0.6666666666666666
CUST-4978,9,5,0.5555555555555556
CUST-4990,7,4,0.5714285714285714
CUST-5001,5,3,0.6
CUST-5017,10,6,0.6
CUST-5064,5,3,0.6
CUST-5068,9,7,0.7777777777777778
CUST-5092,7,5,0.7142857142857143
CUST-5106,11,6,0.5454545454545454
CUST-5121,4,3,0.75
CUST-5238,3,2,0.6666666666666666
CUST-5308,25,13,0.52
CUST-5320,3,2,0.6666666666666666
CUST-5355,9,5,0.5555555555555556
CUST-5371,9,5,0.5555555555555556
CUST-5372,5,3,0.6
CUST-5414,5,4,0.8
CUST-5442,5,3,0.6
CUST-5454,6,4,0.6666666666666666
CUST-5482,5,3,0.6
CUST-5511,7,4,0.5714285714285714
CUST-5523,6,4,0.6666666666666666
CUST-5528,10,8,0.8
CUST-5536,4,3,0.75
CUST-5540,10,6,0.6
CUST-5546,8,5,0.625
CUST-5553,9,5,0.5555555555555556
CUST-5560,7,4,0.5714285714285714
CUST-5583,20,11,0.55
CUST-5595,3,2,0.6666666666666666
CUST-5625,7,4,0.5714285714285714
CUST-5633,3,2,0.6666666666666666
CUST-5640,8,5,0.625
CUST-5644,11,6,0.5454545454545454
CUST-5675,8,5,0.625
CUST-5717,5,3,0.6
CUST-5718,3,2,0.6666666666666666
CUST-5775,11,7,0.6363636363636364
CUST-5780,7,4,0.5714285714285714
CUST-5844,7,5,0.7142857142857143
CUST-5877,5,3,0.6
CUST-5883,5,3,0.6
CUST-5891,6,5,0.8333333333333334
CUST-5897,5,4,0.8
CUST-5958,11,6,0.5454545454545454
CUST-6024,7,4,0.5714285714285714
CUST-6031,3,2,0.6666666666666666
CUST-6051,3,2,0.6666666666666666
CUST-6092,3,2,0.6666666666666666
CUST-6094,4,3,0.75
CUST-6118,6,4,0.6666666666666666
CUST-6150,7,4,0.5714285714285714
CUST-6179,3,3,1.0
CUST-6211,5,4,0.8
CUST-6237,7,4,0.5714285714285714
CUST-6241,3,2,0.6666666666666666
CUST-6248,7,4,0.5714285714285714
CUST-6296,11,6,0.5454545454545454
CUST-6329,7,4,0.5714285714285714
CUST-6420,9,5,0.5555555555555556
CUST-6428,7,5,0.7142857142857143
CUST-6442,5,3,0.6
CUST-6487,6,4,0.6666666666666666
CUST-6496,5,3,0.6
CUST-6500,10,7,0.7
CUST-6530,9,5,0.5555555555555556
CUST-6543,3,2,0.6666666666666666
CUST-6559,7,4,0.5714285714285714
CUST-6563,3,2,0.6666666666666666
CUST-6570,7,4,0.5714285714285714
CUST-6615,9,5,0.5555555555555556
CUST-6651,23,12,0.5217391304347826
CUST-6692,4,3,0.75
CUST-6697,3,3,1.0
CUST-6727,19,11,0.5789473684210527
CUST-6729,7,5,0.7142857142857143
CUST-6731,7,5,0.7142857142857143
CUST-6764,9,5,0.5555555555555556
CUST-6772,22,12,0.5454545454545454
CUST-6776,11,6,0.5454545454545454
CUST-6782,5,3,0.6
CUST-6785,12,7,0.5833333333333334
CUST-6841,11,7,0.6363636363636364
CUST-6933,5,3,0.6
CUST-6945,5,3,0.6
CUST-6950,9,7,0.7777777777777778
CUST-6966,6,4,0.6666666666666666
CUST-6974,9,6,0.6666666666666666
CUST-7049,15,8,0.5333333333333333
CUST-7088,5,3,0.6
CUST-7099,5,3,0.6
CUST-7101,3,3,1.0
CUST-7105,15,9,0.6
CUST-7111,4,3,0.75
CUST-7124,11,6,0.5454545454545454
CUST-7129,7,5,0.7142857142857143
CUST-7139,3,2,0.6666666666666666
CUST-7159,7,4,0.5714285714285714
CUST-7167,4,3,0.75
CUST-7168,8,5,0.625
CUST-7173,5,3,0.6
CUST-7222,5,4,0.8
CUST-7225,6,5,0.8333333333333334
CUST-7243,3,2,0.6666666666666666
CUST-7246,13,7,0.5384615384615384
CUST-7269,13,7,0.5384615384615384
CUST-7346,5,3,0.6
CUST-7365,7,4,0.5714285714285714
CUST-7366,13,8,0.6153846153846154
CUST-7383,5,3,0.6
CUST-7394,4,3,0.75
CUST-7406,8,5,0.625
CUST-7429,4,3,0.75
CUST-7457,10,6,0.6
CUST-7476,13,7,0.5384615384615384
CUST-7505,17,10,0.5882352941176471
CUST-7516,7,5,0.7142857142857143
CUST-7529,8,5,0.625
CUST-7536,9,5,0.5555555555555556
CUST-7570,10,6,0.6
CUST-7602,3,2,0.6666666666666666
CUST-7677,9,5,0.5555555555555556
CUST-7686,11,6,0.5454545454545454
CUST-7694,19,10,0.5263157894736842
CUST-7705,3,2,0.6666666666666666
CUST-7722,8,6,0.75
CUST-7743,3,2,0.6666666666666666
CUST-7753,8,6,0.75
CUST-7830,3,3,1.0
CUST-7846,3,3,1.0
CUST-7857,6,4,0.6666666666666666
CUST-7875,5,3,0.6
CUST-7916,4,3,0.75
CUST-7924,4,3,0.75
CUST-7934,5,3,0.6
CUST-7951,5,3,0.6
CUST-7990,11,8,0.7272727272727273
CUST-7995,7,4,0.5714285714285714
CUST-8007,18,10,0.5555555555555556
CUST-8019,6,4,0.6666666666666666
CUST-8027,5,3,0.6
CUST-8065,12,8,0.6666666666666666
CUST-8096,3,2,0.6666666666666666
CUST-8111,3,2,0.6666666666666666
CUST-8112,7,4,0.5714285714285714
CUST-8123,3,2,0.6666666666666666
CUST-8129,7,5,0.7142857142857143
CUST-8157,7,4,0.5714285714285714
CUST-8187,11,7,0.6363636363636364
CUST-8206,5,3,0.6
CUST-8212,7,4,0.5714285714285714
CUST-8311,10,7,0.7
CUST-8325,9,5,0.5555555555555556
CUST-8331,9,6,0.6666666666666666
CUST-8353,19,12,0.631578947368421
CUST-8365,18,11,0.6111111111111112
CUST-8374,3,2,0.6666666666666666
CUST-8377,3,2,0.6666666666666666
CUST-8406,13,9,0.6923076923076923
CUST-8439,14,9,0.6428571428571429
CUST-8450,6,4,0.6666666666666666
CUST-8484,5,3,0.6
CUST-8486,9,5,0.5555555555555556
CUST-8491,7,4,0.5714285714285714
CUST-8492,3,2,0.6666666666666666
CUST-8532,13,7,0.5384615384615384
CUST-8555,3,2,0.6666666666666666
CUST-8556,4,3,0.75
CUST-8598,21,12,0.5714285714285714
CUST-8684,6,4,0.6666666666666666
CUST-8700,6,5,0.8333333333333334
CUST-8718,3,2,0.6666666666666666
CUST-8720,5,4,0.8
CUST-8722,3,3,1.0
CUST-8746,7,5,0.7142857142857143
CUST-8756,5,3,0.6
CUST-8761,6,6,1.0
CUST-8785,3,2,0.6666666666666666
CUST-8795,6,4,0.6666666666666666
CUST-8800,4,3,0.75
CUST-8803,14,9,0.6428571428571429
CUST-8842,10,6,0.6
CUST-8844,5,4,0.8
CUST-8871,6,4,0.6666666666666666
CUST-8873,5,3,0.6
CUST-8901,15,8,0.5333333333333333
CUST-8914,5,3,0.6
CUST-8925,7,4,0.5714285714285714
CUST-8942,12,7,0.5833333333333334
CUST-8967,10,6,0.6
CUST-8974,9,5,0.5555555555555556
CUST-8996,3,3,1.0
CUST-9054,7,4,0.5714285714285714
CUST-9060,8,5,0.625
CUST-9061,5,3,0.6
CUST-9069,3,2,0.6666666666666666
CUST-9089,6,4,0.6666666666666666
CUST-9099,17,9,0.5294117647058824
CUST-9142,7,4,0.5714285714285714
CUST-9147,12,8,0.6666666666666666
CUST-9173,5,4,0.8
CUST-9197,4,3,0.75
CUST-9212,9,5,0.5555555555555556
CUST-9214,5,3,0.6
CUST-9232,3,2,0.6666666666666666
CUST-9267,7,4,0.5714285714285714
CUST-9272,7,4,0.5714285714285714
CUST-9281,15,9,0.6
CUST-9282,7,4,0.5714285714285714
CUST-9290,3,2,0.6666666666666666
CUST-9305,8,5,0.625
CUST-9312,11,7,0.6363636363636364
CUST-9314,8,5,0.625
CUST-9327,3,3,1.0
CUST-9336,5,3,0.6
CUST-9351,7,5,0.7142857142857143
CUST-9397,16,9,0.5625
CUST-9430,8,5,0.625
CUST-9431,5,3,0.6
CUST-9447,5,4,0.8
CUST-9452,5,3,0.6
CUST-9461,7,4,0.5714285714285714
CUST-9499,7,4,0.5714285714285714
CUST-9534,3,2,0.6666666666666666
CUST-9563,5,3,0.6
CUST-9579,5,3,0.6
CUST-9614,3,2,0.6666666666666666
CUST-9645,4,3,0.75
CUST-9664,10,7,0.7
CUST-9700,21,11,0.5238095238095238
CUST-9706,10,6,0.6
CUST-9714,6,4,0.6666666666666666
CUST-9734,6,4,0.6666666666666666
CUST-9761,5,3,0.6
CUST-9773,8,5,0.625
CUST-9776,7,6,0.8571428571428571
CUST-9784,7,4,0.5714285714285714
CUST-9798,5,3,0.6
CUST-9827,7,4,0.5714285714285714
CUST-9908,11,6,0.5454545454545454
CUST-9935,5,3,0.6
CUST-9945,4,3,0.75
CUST-9954,13,7,0.5384615384615384
